׳�׳–׳”׳” ׳¨׳•׳‘׳•׳˜,׳�׳–׳”׳” ׳§׳¨׳˜׳•׳�,׳�׳–׳”׳” ׳—׳™׳™׳©׳�,׳�׳–׳”׳” ׳×׳§׳©׳•׳¨׳×,׳�׳–׳”׳” ׳�׳›׳™׳¨׳”,׳�׳–׳”׳” ׳›׳‘׳�
robot-0001,cardboard-0001,sensor-0001,comm-0001,sale-0001,wiring-0001
robot-0002,cardboard-0002,sensor-0002,comm-0002,sale-0002,wiring-0002
robot-0003,cardboard-0003,sensor-0003,comm-0003,sale-0003,wiring-0003
robot-0004,cardboard-0004,sensor-0004,comm-0004,sale-0004,wiring-0004
robot-0005,cardboard-0005,sensor-0005,comm-0005,sale-0005,wiring-0005
robot-0006,cardboard-0006,sensor-0006,comm-0006,sale-0006,wiring-0006
robot-0007,cardboard-0007,sensor-0007,comm-0007,sale-0007,wiring-0007
robot-0008,cardboard-0008,sensor-0008,comm-0008,sale-0008,wiring-0008
robot-0009,cardboard-0009,sensor-0009,comm-0009,sale-0009,wiring-0009
robot-0010,cardboard-0010,sensor-0010,comm-0010,sale-0010,wiring-0010
robot-0011,cardboard-0011,sensor-0011,comm-0011,sale-0011,wiring-0011
robot-0012,cardboard-0012,sensor-0012,comm-0012,sale-0012,wiring-0012
robot-0013,cardboard-0013,sensor-0013,comm-0013,sale-0013,wiring-0013
robot-0014,cardboard-0014,sensor-0014,comm-0014,sale-0014,wiring-0014
robot-0015,cardboard-0015,sensor-0015,comm-0015,sale-0015,wiring-0015
robot-0016,cardboard-0016,sensor-0016,comm-0016,sale-0016,wiring-0016
robot-0017,cardboard-0017,sensor-0017,comm-0017,sale-0017,wiring-0017
robot-0018,cardboard-0018,sensor-0018,comm-0018,sale-0018,wiring-0018
robot-0019,cardboard-0019,sensor-0019,comm-0019,sale-0019,wiring-0019
robot-0020,cardboard-0020,sensor-0020,comm-0020,sale-0020,wiring-0020
